area_title,agency_code,notes
Improving the Delivery of Federal Disaster Assistance,DHS,FEMA is primary; DHS is the parent department for federal disaster response
"Acquisition and Program Management for DOE’s National Nuclear Security Administration and Office of Environmental Management",DOE,DOE NNSA and Office of Environmental Management are both DOE sub-agencies
DOD Approach to Business Transformation,DOD,Department of Defense enterprise-wide business reform
DOD Business Systems Modernization,DOD,Department of Defense ERP and IT systems (DEAMS/GFEBS etc.)
DOD Contract Management,DOD,Defense contract management including DCMA and service acquisition offices
DOD Financial Management,DOD,DoD financial statement auditability and systems
DOD Weapon Systems Acquisition,DOD,Major defense acquisition programs (MDAPs) managed by OSD AT&L
Emergency Loans for Small Businesses,SBA,SBA 7(a) and disaster loan programs identified during COVID-era expansion
Enforcement of Tax Laws,TREASURY,IRS is a bureau of Treasury; tax gap enforcement is IRS responsibility
Ensuring the Cybersecurity of the Nation,DHS,CISA (within DHS) is the lead civilian cyber agency per EO 14028; DHS is the primary owner
"Funding the Nation’s Surface Transportation System",DOT,Highway Trust Fund and FHWA/FTA are DOT programs; DOT is the primary agency owner
Government-wide Personnel Security Clearance Process,ODNI,ODNI/NCSC leads the IC personnel security framework; DOD DCSA executes for non-IC
HHS Leadership and Coordination of Public Health Emergencies,HHS,HHS ASPR and CDC are the primary owners of pandemic/public health readiness
Improving and Modernizing Federal Disability Programs,SSA,GAO focus is primarily on SSA DI/SSI; VA is secondary. SSA is the primary owner
Improving Federal Management of Programs that Serve Tribes and Their Members,INTERIOR,BIA within Interior is the primary federal trust responsibility holder for tribes
Improving Federal Oversight of Food Safety,,FDA (HHS) and USDA FSIS split jurisdiction by food type; genuinely co-owned; no single owner
Improving IT Acquisitions and Management,GSA,GSA OFPP/OGP and OMB OFCIO lead IT acquisition policy; GSA is the primary coordinator
"Limiting the Federal Government’s Fiscal Exposure by Better Managing Climate Change Risks",,Whole-of-government climate fiscal risk; OMB coordinates but no single agency owns
Management of Federal Oil and Gas Resources,INTERIOR,Bureau of Land Management and BSEE are Interior sub-agencies
Managing Federal Real Property,GSA,GSA Federal Real Property Council leads; Interior and DOD also hold large portfolios; GSA is primary coordinator
Managing Risks and Improving VA Health Care,VA,Veterans Health Administration is the sole owner
Medicare Program & Improper Payments,HHS,CMS within HHS administers Medicare
Modernizing the U.S. Financial Regulatory System,TREASURY,Treasury (OFR/FSOC secretariat) coordinates financial regulatory reform; primary policy lead
NASA Acquisition Management,NASA,NASA procurement and major program cost/schedule overruns
"National Efforts to Prevent, Respond to, and Recover from Drug Misuse",,HHS SAMHSA and DOJ DEA and ONDCP all involved; genuinely cross-agency
National Flood Insurance Program,DHS,NFIP is administered by FEMA within DHS
Protecting Public Health through Enhanced Oversight of Medical Products,HHS,FDA within HHS regulates drugs/biologics/devices
Protecting Technologies Critical to U.S. National Security Interests,,DOD Commerce BIS and Treasury CFIUS all involved; genuinely cross-agency national security issue
Resolving the Federal Role in Housing Finance,,FHFA oversees GSEs but Treasury/HUD also involved; unresolved structural question; no single owner
Strategic Human Capital Management,OPM,OPM is the primary HR policy agency for the federal workforce; leads CHCO Council
Strengthening Department of Homeland Security IT and Financial Management Functions,DHS,DHS internal management improvement; DHS owns this area
Strengthening Management of the Federal Prison System,DOJ,Bureau of Prisons is a DOJ component
Strengthening Medicaid Program Integrity,HHS,CMS within HHS administers the Medicaid federal match
"Transforming EPA’s Process for Assessing and Managing Chemical Risks",EPA,EPA TSCA chemical risk assessment backlog
Unemployment Insurance System,DOL,Employment and Training Administration (DOL) administers UI grants to states
"U.S. Government’s Environmental Liability",,DOD (FUDS cleanup) and DOE (nuclear sites) are largest holders; cross-agency
USPS Financial Viability,USPS,United States Postal Service; independent establishment
VA Acquisition Management,VA,VA procurement and contracting management
