award_piid,pe_bli,adjudicated_confidence,award_verdict,pair_reason,basis,evidence,note,refuter_lenses_passed
FA251718C8000,0602716E,reject,contradicted,contradicted,,SSPARS PROGRAM IS COMPRISED OF FIVE RADAR SITES AT THE FOLLOWING 21ST SPACE WING... GEOGRAPHICALLY-SEPARATED UNITS,"Air Force SSPARS early-warning radar site O&M for 21st Space Wing (Beale, Cape Cod, Clear, Fylingdales, Thule). No DARPA content; SSPARS absent from all 24 PE narratives.",
FA251718C8000,0601101E,reject,contradicted,contradicted,,SSPARS PROGRAM IS COMPRISED OF FIVE RADAR SITES AT THE FOLLOWING 21ST SPACE WING... GEOGRAPHICALLY-SEPARATED UNITS,"Air Force SSPARS early-warning radar site O&M for 21st Space Wing (Beale, Cape Cod, Clear, Fylingdales, Thule). No DARPA content; SSPARS absent from all 24 PE narratives.",
FA251718C8000,0602025E,reject,contradicted,contradicted,,SSPARS PROGRAM IS COMPRISED OF FIVE RADAR SITES AT THE FOLLOWING 21ST SPACE WING... GEOGRAPHICALLY-SEPARATED UNITS,"Air Force SSPARS early-warning radar site O&M for 21st Space Wing (Beale, Cape Cod, Clear, Fylingdales, Thule). No DARPA content; SSPARS absent from all 24 PE narratives.",
FA251718C8000,0602303E,reject,contradicted,contradicted,,SSPARS PROGRAM IS COMPRISED OF FIVE RADAR SITES AT THE FOLLOWING 21ST SPACE WING... GEOGRAPHICALLY-SEPARATED UNITS,"Air Force SSPARS early-warning radar site O&M for 21st Space Wing (Beale, Cape Cod, Clear, Fylingdales, Thule). No DARPA content; SSPARS absent from all 24 PE narratives.",
FA251718C8000,0601122E,reject,contradicted,contradicted,,SSPARS PROGRAM IS COMPRISED OF FIVE RADAR SITES AT THE FOLLOWING 21ST SPACE WING... GEOGRAPHICALLY-SEPARATED UNITS,"Air Force SSPARS early-warning radar site O&M for 21st Space Wing (Beale, Cape Cod, Clear, Fylingdales, Thule). No DARPA content; SSPARS absent from all 24 PE narratives.",
FA304709C0011,0603760E,reject,contradicted,contradicted,,INTERFACE BETWEEN IDC2COP AND ACES - FD,"Air Force integrated base-defense C2 (IDC2COP/ACES-FD) closeout at 502 CONS JBSA. AF force-protection system, not a DARPA program; no narrative hit.",
FA460019FA025,0601122E,reject,contradicted,contradicted,,THE DEFENSE THREAT REDUCTION AGENCY (DTRA)... NSRI... USSTRATCOM... AND ITS UARC PARTNERS,DTRA/USSTRATCOM UARC bio-detection and decontamination research via NSRI. Explicitly another agency's program.,
FA460019FA025,0602715E,reject,contradicted,contradicted,,THE DEFENSE THREAT REDUCTION AGENCY (DTRA)... NSRI... USSTRATCOM... AND ITS UARC PARTNERS,DTRA/USSTRATCOM UARC bio-detection and decontamination research via NSRI. Explicitly another agency's program.,
FA520919PA137,0602715E,reject,contradicted,contradicted,,ARMY RESEARCH AND DEVELOPMENT - AUTOMATED TEXT PROCESSING AND LINK ANALYSIS... BIOLOGICAL MATERIAL HOLDINGS,"Explicitly Army R&D (biosurveillance text processing, Univ. of Melbourne). No DARPA content.",
FA807516D0001,0602025E,low,not_darpa,account-only,,,"DoD IAC Cyber Security Technical Area Task umbrella IDIQ (774 ESS/DTIC vehicle serving all DoD). Base contract, no DARPA content.",
